id,name,age,position,club,league,minutes,appearances,goals,assists,xG,xA,shots,shots_on_target,key_passes,passes_per90,pass_accuracy_pct,dribbles_per90,tackles_per90,interceptions_per90,yellow_cards,red_cards,clean_sheets,market_value_eur
53,Tufail Shinwari,24,ST,N/A,N/A,948,10,9,8,4.6,2.49,67,40,7,33.1,54.5,2.11,0.85,0.74,8,0,,403800
54,Umair Bahader,30,ST,N/A,N/A,2276,25,15,3,10.35,0.92,58,33,32,47.3,55.2,0.36,1.2,0.87,5,0,,452400
55,Aqib Khan,33,MF,N/A,N/A,1694,18,0,4,0.2,1.67,79,47,31,76.2,74.3,1.02,1.03,1.29,6,0,,64200
56,Kaleemullah Khan,27,ST,N/A,N/A,1072,11,22,3,15.65,1.03,115,30,30,45.3,80.8,1.09,1.06,0.84,2,0,,75000
57,Ahmed Faheem,18,ST,N/A,N/A,817,9,16,9,10.61,2.37,122,34,29,10.8,55.5,2.2,1.46,0.17,4,0,,535300
58,Mehmood Khan,29,ST,N/A,N/A,2961,32,2,5,2.63,2.28,107,62,40,45.9,78.9,2.21,0.25,0.16,4,0,,193000
59,Mansoor Khan,19,ST,N/A,N/A,2077,23,3,12,2.57,4.05,123,37,19,55.2,51.7,2.03,0.58,0.44,2,0,,292100
60,Abdul Qadeer Khan,30,DEF,N/A,N/A,1637,18,1,1,0.03,0.67,19,9,7,71.1,68.9,0.28,1.51,1.01,0,0,,37400
61,Muhammad Afzaal,31,LW,N/A,N/A,1778,19,10,8,2.69,2.35,49,29,19,61.5,73.6,0.58,2.16,0.56,6,0,,271200
62,Muhammad Haroon,20,AM,N/A,N/A,1571,17,6,9,1.67,2.49,94,33,53,62.8,68.8,1.18,1.81,1.27,0,0,,265800
63,Muhammad Adeel,32,DM,N/A,N/A,2072,23,1,2,0.09,0.41,8,3,11,64.5,83.4,0.08,1.19,1.75,0,0,,37900
64,Muhammad Junaid,31,DM,N/A,N/A,1036,11,4,2,0.89,0.35,9,3,6,37.9,68.6,0.32,2.94,1.56,4,0,,67900
65,Ans Amin,25,DEF,N/A,N/A,2873,31,2,2,0.52,0.58,2,0,3,68.7,84.6,0.59,2.93,2.11,5,0,,76200
66,Abdul Aziz,29,DEF,N/A,N/A,957,10,2,0,0.38,0.4,8,3,10,72.3,67.9,0.14,1.05,2.27,8,0,,40500
67,Bilal Khan,24,ST,N/A,N/A,2952,32,2,10,2.53,3.59,87,41,7,17,86,0.9,0.84,0.19,8,0,,289000
68,Faisal Khan,31,DM,N/A,N/A,2419,26,4,3,0.83,0.89,13,6,7,57.7,90.4,0.17,2.38,0.93,7,0,,81800
69,Rahil Ahmed,28,MF,N/A,N/A,1006,11,10,5,3.04,2.03,50,13,17,32.3,63.9,1.71,1.3,1.16,10,0,,262100
70,Saad Mustafa,17,MF,N/A,N/A,807,8,12,5,3.37,1.35,77,24,53,69.7,66.6,0.51,2.21,0.73,2,0,,295400
71,Fahad Khan,17,AM,N/A,N/A,1735,19,2,2,0.64,1.14,19,9,1,28.6,71.5,1.6,1.6,0.32,4,0,,69800
72,Asad Ali,30,MF,N/A,N/A,2754,30,1,11,0,3.11,51,21,6,49.4,67.1,1.27,1.9,1.48,10,0,,181600
73,Hameed Khan,31,DM,N/A,N/A,1027,11,0,3,0.14,0.71,3,1,7,33.3,67.2,0.36,1.13,1.05,8,0,,33600
74,Zubair Khan,29,ST,N/A,N/A,2746,30,16,4,11.04,1.73,35,18,7,52.6,74.7,1.97,1.14,0.29,7,0,,482100
75,Kaleem Ahmed,30,DM,N/A,N/A,2288,25,3,3,0.57,0.51,13,4,4,46.8,69.1,0.55,1.13,2.16,1,0,,89200
76,Salman Khan,28,RW,N/A,N/A,1132,12,8,0,2.48,0.45,47,22,26,43,81.3,1.53,2.21,1.24,4,0,,194800
77,Rizwan Khan,28,DM,N/A,N/A,1324,14,4,1,0.66,0.44,3,1,8,46.5,85.6,0.34,2.61,2.19,8,1,,80600
78,Muhammad Rizwan,25,ST,N/A,N/A,418,4,5,4,4.21,1.37,96,35,11,53.5,71.5,1.12,0.38,0.67,0,0,,240500
79,Waleed Khan,33,MF,N/A,N/A,1481,16,6,6,1.76,1.63,44,22,49,81.2,79.1,1.78,0.64,1.28,0,0,,166400
80,Taimur Ali,25,LW,N/A,N/A,2414,26,10,6,2.99,1.85,39,12,32,27.4,73.8,0.64,1.79,0.93,10,0,,394800
81,Mohammad Sufyan Asif,24,AM,N/A,N/A,2218,24,9,0,2.26,0.24,32,16,48,36.6,70.5,0.11,1.94,0.53,6,0,,219600
82,Mehdi Hassan,24,RW,N/A,N/A,2649,29,8,10,2.68,2.56,115,58,27,21.2,89.5,1.74,1.57,1.05,10,0,,420100
83,Muhammad Mujahid,20,MF,N/A,N/A,2259,25,0,5,0,2.01,63,34,58,43.5,74,0.3,1.26,0.82,1,0,,116400
84,Muhammad Imran,26,AM,N/A,N/A,1990,22,3,5,1.15,1.31,86,24,32,32.6,84.8,0.77,2.41,1.14,2,0,,171600
85,Nadeem Akhtar,21,MF,N/A,N/A,1648,18,3,2,0.99,1.11,88,24,60,70.2,75.8,1.53,1.97,0.88,9,0,,145100
86,Saifullah Khan,27,RW,N/A,N/A,1894,21,2,7,0.21,2.1,43,22,37,23.7,76.2,0.69,1.29,0.37,4,0,,219300
87,Bilal Ahmed,19,DM,N/A,N/A,2976,33,3,3,0.63,1.02,1,0,12,55.7,70.1,0.36,2,2.42,7,0,,94300
88,Faraz Khan,27,ST,N/A,N/A,645,7,16,10,10.05,2.8,122,72,33,36.1,56,1.06,0.57,0.47,5,0,,665100
89,Hamza Ali,18,LW,N/A,N/A,1970,21,1,5,0,1.79,41,13,54,62.7,89,1.76,1.03,1.06,2,0,,144200
90,Shahzad Khan,26,RW,N/A,N/A,2205,24,2,9,0.79,2.32,76,29,50,41.4,64.1,1.44,2.38,1.6,8,0,,273100
91,Kashif Khan,30,ST,N/A,N/A,2382,26,11,0,7.22,0.22,64,23,31,19.6,88,0.56,0.58,0.81,8,0,,301000
92,Zafar Iqbal,33,DM,N/A,N/A,1054,11,2,1,0.44,0.24,5,2,12,58.1,89.4,0.43,1.09,1.23,3,0,,39100
93,Adnan Ahmed,26,RW,N/A,N/A,2438,27,3,8,0.67,2.77,105,43,53,32.6,81.7,1.18,1.27,1.3,6,0,,283800
94,Haris Khan,30,DEF,N/A,N/A,1563,17,1,1,0.35,0.18,15,8,8,72,84.2,0.31,1.25,0.67,2,0,,37000
95,Yasir Khan,33,LW,N/A,N/A,1203,13,6,1,2.2,0.43,62,34,59,21.7,61.7,1.05,0.82,1.59,5,0,,145800
96,Usman Khan,27,MF,N/A,N/A,1005,11,11,10,3.15,2.62,9,3,53,50.7,86.6,1.54,1.33,1.1,1,1,,418200
97,Noor Khan,23,MF,N/A,N/A,1212,13,8,11,2.5,3.09,104,36,19,27.9,67.6,1.31,1.67,0.38,7,0,,355400
98,Imran Ali,17,LW,N/A,N/A,2710,30,9,3,2.9,0.98,5,2,15,57.1,66,1.37,1.45,0.77,8,0,,249800
99,Tariq Mahmood,33,DEF,N/A,N/A,983,10,3,3,0.42,0.68,11,3,0,46.1,66.8,0.14,2.31,0.71,5,0,,62400
100,Saeed Khan,28,ST,N/A,N/A,2536,28,10,10,5.86,3.43,128,75,30,41.6,80.8,0.35,1.21,0.51,4,0,,440800
379,Burgui,23,"FW,MF",Alavés,La Liga,1037,1,1,1,0.9,1.7,2,4,354,0.09,74.6,31,12,4,1,0,0,1800000
2530,Raphaël Varane,24,DF,Real Madrid,La Liga,2320,80,0,1,0.9,0.9,3,2,1323,0.04,88.4,12,22,17,3,0,0,70000000
721,Rubén Duarte,21,DF,Alavés,La Liga,2138,51,0,2,0.5,1.6,1,1,963,0.08,68.5,12,54,30,9,2,0,2000000
2512,Samuel Umtiti,23,DF,Barcelona,La Liga,2189,55,1,0,1.1,0,0,6,1591,0,90.2,8,40,30,7,0,0,60000000
882,Manu García,31,MF,Alavés,La Liga,2438,55,3,0,3.1,1.4,2,8,997,0,72.6,21,90,32,9,0,0,1800000
940,Ibai Gómez,27,"MF,FW",Alavés,La Liga,2315,11,7,6,5.5,4.8,3,24,934,0.23,66,90,17,15,1,0,0,3500000
1002,John Guidetti,25,FW,Alavés,La Liga,1210,4,3,2,3.4,2.1,2,12,345,0.15,65.8,2,6,4,3,0,0,5000000
1027,Munir El Haddadi,21,FW,Alavés,La Liga,2436,2,10,6,8.8,3.6,3,24,704,0.22,65.8,59,22,9,8,2,0,12000000
1072,Héctor Hernández,26,MF,Alavés,La Liga,16,2,0,0,0,0,0,0,13,0,84.6,0,1,0,0,0,0,30000
1259,Aleksandar Katai,26,"FW,MF",Alavés,La Liga,57,0,0,0,0.2,0,0,0,11,0,81.8,4,2,0,0,0,0,1250000
1117,Mats Hummels,28,DF,Bayern Munich,Bundesliga,2213,108,1,1,2.3,0.6,2,4,1979,0.04,88.2,11,54,32,3,0,0,60000000
1324,Kalidou Koulibaly,26,DF,Napoli,Serie A,3066,122,5,1,2.6,0.3,0,6,2932,0.03,91.3,13,70,24,5,1,0,60000000
1990,Paul Pogba,24,MF,Manchester Utd,Premier League,2148,20,6,10,6.5,3.9,5,21,1755,0.42,83.7,88,27,21,5,1,0,90000000
1885,Fernando Pacheco,25,GK,Alavés,La Liga,3360,0,0,0,0,0,0,0,760,0,54.5,1,0,0,2,0,12,9000000
1923,Alfonso Pedraza,21,"MF,DF",Alavés,La Liga,2440,11,3,5,3.5,3.7,4,13,734,0.18,62.7,86,43,26,5,0,0,5000000
1946,Hernán Pérez,28,"MF,FW",Alavés,La Liga,375,1,0,0,0.4,0.6,0,2,147,0,65.3,10,6,3,2,0,0,1200000
2133,Óscar Romero,25,"MF,FW",Alavés,La Liga,253,1,0,0,0.2,0.1,0,3,72,0,56.9,8,3,4,0,0,0,4000000
2236,Christian Santos,29,FW,Alavés,La Liga,438,8,2,0,1.3,0.2,0,4,141,0,63.8,0,2,3,3,2,0,1000000
2322,Antonio Sivera,20,GK,Alavés,La Liga,60,0,0,0,0,0,0,0,12,0,58.3,0,0,0,0,0,0,1000000
2335,Rubén Sobrino,25,"FW,MF",Alavés,La Liga,1474,6,3,3,3.1,1.2,0,13,418,0.18,71.8,31,32,9,5,0,0,2000000
2562,Carlos Vigaray,22,"DF,MF",Alavés,La Liga,897,9,0,0,0.5,0.1,0,0,329,0,64.1,9,24,12,6,0,0,80000
1559,Marquinhos,23,DF,Paris S-G,Ligue 1,2262,88,0,1,1.5,1,1,1,1585,0.04,93.4,2,26,11,1,0,0,55000000
1375,Aymeric Laporte,23,DF,Athletic Club,La Liga,1710,57,0,0,0.6,0.5,1,2,991,0,81.6,2,31,15,5,0,0,50000000
187,Sekou Baradji,33,MF,Amiens,Ligue 1,7,0,0,0,0,0,0,0,5,0,40,0,0,0,0,0,0,20000
317,Mathieu Bodmer,34,"DF,MF",Amiens,Ligue 1,397,5,1,0,0.9,0.4,0,1,275,0,78.5,0,3,4,2,0,0,50000
336,Jean-Christophe Bouet,34,GK,Amiens,Ligue 1,90,0,0,0,0,0,0,0,20,0,35,0,0,0,0,0,0,20000
341,Emmanuel Bourgaud,29,"MF,FW",Amiens,Ligue 1,543,8,0,1,0.4,1.5,1,1,294,0.17,66,11,9,9,0,0,0,60000
492,Charly Charrier,31,MF,Amiens,Ligue 1,105,0,0,0,0.3,0,0,0,71,0,74.6,1,0,1,0,0,0,50000
514,Issa Cissokho,32,DF,Amiens,Ligue 1,1630,51,0,0,0.1,0.5,0,1,801,0,73.9,6,33,25,3,0,0,50000
552,Quentin Cornette,23,"FW,MF",Amiens,Ligue 1,446,3,1,1,0.7,1.1,1,5,138,0.2,69.6,17,9,7,1,0,0,30000
1975,Gerard Piqué,30,DF,Barcelona,La Liga,2631,103,2,0,3,0.9,1,5,1810,0,88.7,10,30,32,8,0,0,50000000
698,Jean-Luc Dompé,21,MF,Amiens,Ligue 1,29,0,0,0,0,0,0,0,18,0,44.4,0,1,0,0,0,0,75000
1343,Toni Kroos,27,MF,Real Madrid,La Liga,2261,6,5,5,2.6,5.6,3,17,2160,0.2,88.8,19,51,19,4,0,0,80000000
864,Serge Gakpé,30,"FW,MF",Amiens,Ligue 1,1853,8,3,1,3.4,0.8,2,14,506,0.05,68.6,24,11,10,1,0,0,90000
961,Georges Gope-Fenepej,28,"MF,FW",Amiens,Ligue 1,47,0,0,0,0,0,0,0,21,0,61.9,4,0,0,0,0,0,30000
1016,Régis Gurtner,30,GK,Amiens,Ligue 1,3330,2,0,0,0,0,0,0,1008,0,50.3,2,0,0,2,0,11,3000000
1032,Oualid El Hajjam,26,DF,Amiens,Ligue 1,2198,64,1,1,1.1,1,0,3,1046,0.04,69.3,35,61,67,6,0,0,1000000
1132,Julien Ielsch,34,"MF,DF",Amiens,Ligue 1,617,8,0,0,0.4,0.4,1,1,236,0,67.4,4,29,8,4,0,0,25000
1239,Gaël Kakuta,26,"MF,FW",Amiens,Ligue 1,3084,10,6,4,4.7,7.1,6,19,1378,0.12,64.5,129,43,26,3,0,0,6000000
1312,Moussa Konaté,24,FW,Amiens,Ligue 1,2472,10,13,1,10.4,1.6,3,25,513,0.04,67.3,22,7,6,8,0,0,6000000
1356,Brighton Labeau,21,FW,Amiens,Ligue 1,23,0,0,0,0,0,0,0,3,0,100,1,0,0,1,0,0,15000
1537,Harrison Manzala,23,"FW,MF",Amiens,Ligue 1,1864,8,4,3,3,2.1,2,14,665,0.14,71.7,69,31,19,3,0,0,1500000
1639,Stiven Mendoza,25,"FW,MF",Amiens,Ligue 1,1032,2,2,0,2.3,0.8,2,6,366,0,69.9,35,11,15,0,0,0,1250000
1692,Thomas Monconduit,26,MF,Amiens,Ligue 1,2948,66,1,3,0.9,1.2,4,4,1440,0.09,78.3,35,76,52,7,1,0,3000000
1778,Nathan,21,MF,Amiens,Ligue 1,10,0,0,0,0,0,0,0,4,0,100,0,0,0,0,0,0,1000000
1307,Koke,25,"MF,FW",Atlético Madrid,La Liga,2753,22,4,3,2.9,7.3,3,14,2078,0.1,79.8,45,60,23,3,0,0,70000000
89,Yoann Andreu,28,DF,Angers,Ligue 1,2070,27,1,2,0.2,1.8,0,2,1176,0.09,77.4,23,36,42,4,0,0,1750000
180,Abdoulaye Bamba,27,DF,Angers,Ligue 1,1533,30,0,0,0.1,0.3,0,1,810,0,76.7,17,20,10,2,0,0,1000000
386,Ludovic Butelle,34,GK,Angers,Ligue 1,1652,1,0,0,0,0,0,0,392,0,55.6,0,0,0,0,0,4,50000
434,Pierrick Capelle,30,"MF,FW",Angers,Ligue 1,1882,19,2,1,2.9,2.5,5,11,815,0.05,77.4,45,49,34,3,0,0,1000000
512,Saliou Ciss,27,"DF,FW",Angers,Ligue 1,144,1,0,0,0,0,0,1,54,0,64.8,5,1,1,0,0,0,80000
1807,Saúl Ñíguez,22,MF,Atlético Madrid,La Liga,3155,57,2,4,3.2,2.9,4,9,1747,0.11,80.9,69,116,40,9,0,0,70000000
578,Enzo Crivelli,22,FW,Angers,Ligue 1,1023,4,1,1,1.9,0.8,0,3,263,0.09,65.8,13,12,4,6,1,0,4000000
2548,Marco Verratti,24,MF,Paris S-G,Ligue 1,1718,5,0,4,0.4,1.9,0,2,1991,0.21,90.2,39,41,30,9,2,0,70000000
1008,Baptiste Guillaume,22,FW,Angers,Ligue 1,458,2,1,1,1.8,0.7,0,4,86,0.2,58.1,4,3,2,3,0,0,2000000
1250,Wilfried Kanga,19,"FW,MF",Angers,Ligue 1,176,0,0,0,0.1,0,0,1,32,0,81.3,1,1,0,0,0,0,20000
1279,Billy Ketkeophomphone,27,"MF,FW",Angers,Ligue 1,437,1,0,0,0.2,0.4,2,5,186,0,74.2,15,18,7,0,0,0,2000000
1417,Alexandre Letellier,26,GK,Angers,Ligue 1,1170,0,0,0,0,0,0,0,256,0,62.9,0,0,0,0,0,1,1000000
1520,Vincent Manceau,28,DF,Angers,Ligue 1,2970,47,0,0,0.6,1.8,0,3,1717,0,74.8,18,71,37,0,0,0,2000000
1270,Naby Keïta,22,MF,RB Leipzig,Bundesliga,1962,17,6,5,3.5,3.7,3,12,1250,0.23,79.5,111,49,22,8,2,0,65000000
1660,Mathieu Michel,25,GK,Angers,Ligue 1,598,0,0,0,0,0,0,0,137,0,62.8,0,0,0,0,0,1,2000000
1853,Prince Oniangué,28,MF,Angers,Ligue 1,1055,6,1,0,2.4,0.4,3,5,350,0,77.1,6,15,13,1,2,0,1500000
1252,N'Golo Kanté,26,MF,Chelsea,Premier League,2994,22,1,1,0.8,2.4,2,5,2144,0.03,88.6,54,110,68,3,0,0,60000000
2032,Adrien Rabiot,22,MF,Paris S-G,Ligue 1,2364,13,1,4,1.7,3.3,3,5,2168,0.15,91.2,35,51,30,2,0,0,50000000
2233,Baptiste Santamaria,22,MF,Angers,Ligue 1,2591,41,0,0,0.3,1.1,1,2,1169,0,80.1,20,56,46,6,0,0,3000000
2399,Gilles Sunu,26,"MF,FW",Angers,Ligue 1,656,0,1,1,1.2,0.5,1,2,262,0.14,77.5,21,7,3,4,0,0,1500000
37,David Alaba,25,DF,Bayern Munich,Bundesliga,1551,30,2,2,1,2.2,2,7,1320,0.12,84.8,26,23,10,1,0,0,50000000
2420,Flavien Tait,24,"MF,FW",Angers,Ligue 1,2241,7,4,3,3.9,4,3,26,981,0.12,71.6,73,44,27,5,2,0,5000000
681,Virgil van Dijk,26,DF,Liverpool,Premier League,1260,82,0,0,1.4,0.6,2,6,1105,0,89.1,4,11,16,1,0,0,50000000
2456,Karl Toko Ekambi,24,"FW,MF",Angers,Ligue 1,3041,1,17,5,16.2,4.2,8,44,907,0.15,76.1,131,13,12,4,0,0,18000000
2485,Thomas Touré,23,MF,Angers,Ligue 1,128,0,0,0,0.2,0.5,0,0,52,0,82.7,11,2,2,1,0,0,1500000
1376,Aymeric Laporte,23,DF,Manchester City,Premier League,806,14,0,0,0,0.1,1,0,808,0,91.6,5,5,9,1,0,0,50000000
135,Pierre-Emerick Aubameyang,28,FW,Arsenal,Premier League,1057,6,10,4,8.3,1.1,2,17,319,0.34,68.7,11,5,5,0,0,0,75000000
246,Héctor Bellerín,22,"DF,MF",Arsenal,Premier League,3051,53,2,3,2.2,3.6,1,8,2121,0.09,82.9,56,52,28,5,0,0,40000000
2379,John Stones,23,DF,Manchester City,Premier League,1302,32,0,0,1.3,0,1,4,1214,0,95.6,0,15,19,0,0,0,50000000
540,Francis Coquelin,26,"MF,DF",Arsenal,Premier League,169,2,0,0,0,0.2,0,0,93,0,84.9,0,4,5,0,0,0,12000000
749,Mohamed Elneny,25,MF,Arsenal,Premier League,867,11,0,1,0.4,0.7,2,1,829,0.1,92.4,4,12,10,3,1,0,10000000
928,Olivier Giroud,30,FW,Arsenal,Premier League,388,3,4,1,3,0.9,2,6,134,0.23,70.9,5,5,1,0,0,0,18000000
680,Virgil van Dijk,26,DF,Southampton,Premier League,994,74,0,0,1.1,0,1,0,627,0,84.7,2,13,18,0,0,0,50000000
1164,Alex Iwobi,21,"FW,MF",Arsenal,Premier League,1830,9,3,5,3,3.6,3,22,1152,0.25,85.7,48,20,10,1,0,0,15000000
313,Jérôme Boateng,28,DF,Bayern Munich,Bundesliga,1640,74,1,2,0.9,1.2,0,3,1428,0.11,86.2,4,27,18,4,0,0,45000000
1358,Alexandre Lacazette,26,FW,Arsenal,Premier League,2202,2,14,4,11.8,3.3,11,32,704,0.16,75.4,47,25,8,1,0,0,60000000
1511,Ainsley Maitland-Niles,19,"DF,MF",Arsenal,Premier League,914,20,0,0,0.2,0.7,0,0,600,0,83.5,24,27,17,1,0,0,7000000
2055,Sergio Ramos,31,DF,Real Madrid,La Liga,2290,59,4,1,6,1,3,12,1875,0.04,89,11,33,38,9,4,0,45000000
503,Andreas Christensen,21,DF,Chelsea,Premier League,2086,89,0,0,1.1,0.2,3,1,1323,0,92.6,1,22,21,0,0,0,40000000
